x;[21445] CALCULUS;[29637] CALCULUS I;[35562] CALCULUS;[39462] CALCULUS;[50078] CALCULUS;[56099] PRECALCULUS;[63276] CALCULUS;[67160] CALCULUS II;[72748] CALCULUS;[82332] CALCULUS FOR BIOLOGICAL SCIENCES;[141580] CALCULUS FOR BIOLOGICAL SCIENCES;[177228] CALCULUS II;[217155] CALCULUS;[245107] ADVANCED CALCULUS;[285668] CALCULUS I;
[21445] CALCULUS;1.00;0.90;1.00;1.00;1.00;0.00;1.00;0.80;1.00;0.66;0.66;0.80;1.00;0.78;0.90;
[29637] CALCULUS I;0.90;1.00;0.90;0.90;0.90;0.00;0.90;0.90;0.90;0.66;0.66;0.90;0.90;0.78;1.00;
[35562] CALCULUS;1.00;0.90;1.00;1.00;1.00;0.00;1.00;0.80;1.00;0.66;0.66;0.80;1.00;0.78;0.90;
[39462] CALCULUS;1.00;0.90;1.00;1.00;1.00;0.00;1.00;0.80;1.00;0.66;0.66;0.80;1.00;0.78;0.90;
[50078] CALCULUS;1.00;0.90;1.00;1.00;1.00;0.00;1.00;0.80;1.00;0.66;0.66;0.80;1.00;0.78;0.90;
[56099] PRECALCULUS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
[63276] CALCULUS;1.00;0.90;1.00;1.00;1.00;0.00;1.00;0.80;1.00;0.66;0.66;0.80;1.00;0.78;0.90;
[67160] CALCULUS II;0.80;0.90;0.80;0.80;0.80;0.00;0.80;1.00;0.80;0.66;0.66;1.00;0.80;0.78;0.90;
[72748] CALCULUS;1.00;0.90;1.00;1.00;1.00;0.00;1.00;0.80;1.00;0.66;0.66;0.80;1.00;0.78;0.90;
[82332] CALCULUS FOR BIOLOGICAL SCIENCES;0.66;0.66;0.66;0.66;0.66;0.00;0.66;0.66;0.66;1.00;1.00;0.66;0.66;0.61;0.66;
[141580] CALCULUS FOR BIOLOGICAL SCIENCES;0.66;0.66;0.66;0.66;0.66;0.00;0.66;0.66;0.66;1.00;1.00;0.66;0.66;0.61;0.66;
[177228] CALCULUS II;0.80;0.90;0.80;0.80;0.80;0.00;0.80;1.00;0.80;0.66;0.66;1.00;0.80;0.78;0.90;
[217155] CALCULUS;1.00;0.90;1.00;1.00;1.00;0.00;1.00;0.80;1.00;0.66;0.66;0.80;1.00;0.78;0.90;
[245107] ADVANCED CALCULUS;0.78;0.78;0.78;0.78;0.78;0.00;0.78;0.78;0.78;0.61;0.61;0.78;0.78;1.00;0.78;
[285668] CALCULUS I;0.90;1.00;0.90;0.90;0.90;0.00;0.90;0.90;0.90;0.66;0.66;0.90;0.90;0.78;1.00;
