,cluster,asignatura,id,titulacion
0,7,FÍSICA PARA LAS CIENCIAS BIOMÉDICAS,2,MEDICINA
1,6,INTEGRADO DE CLÍNICA MEDICA: ONCOLOGÍA,612,MEDICINA
2,6,INTEGRADO DE CLÍNICA III CARDIOVASCULAR,621,MEDICINA
3,4,MORFOFUNCIONAL IV NEUROFISIOLOGÍA TEORÍA,630,MEDICINA
4,3,MORFOFUNCIONAL II ANATOMÍA TEORÍA,925,MEDICINA
5,1,MORFOFUNCIONAL II FISIOLOGÍA PRÁCTICA,934,MEDICINA
6,2,MORFOFUNCIONAL I EMBRIOLOGÍA,943,MEDICINA
7,2,MORFOFUNCIONAL I HISTOLOGÍA TEORÍA,1259,MEDICINA
8,7,MICROFINANZAS,1535,ADMINISTRACIÓN EN BANCA Y FINANZAS
9,5,ADMINISTRACIÓN I,1843,ADMINISTRACIÓN DE EMPRESAS
10,7,ECONOMÍA DEL ECUADOR,2329,ECONOMÍA
11,3,MORFOFUNCIONAL III ANATOMÍA TEORÍA,2742,MEDICINA
12,1,MORFOFUNCIONAL III FISIOLOGÍA PRÁCTICA,3025,MEDICINA
13,7,CUIDADOS DE LA PERSONA ENFERMA,3034,MEDICINA
14,5,ADMINISTRACIÓN EN SALUD,3274,MEDICINA
