,cluster,asignatura,id,titulacion
0,42,FÍSICA PARA LAS CIENCIAS BIOMÉDICAS,2,MEDICINA
1,257,INTEGRADO DE CLÍNICA MEDICA: ONCOLOGÍA,612,MEDICINA
2,255,INTEGRADO DE CLÍNICA III CARDIOVASCULAR,621,MEDICINA
3,221,MORFOFUNCIONAL IV NEUROFISIOLOGÍA TEORÍA,630,MEDICINA
4,237,MORFOFUNCIONAL II ANATOMÍA TEORÍA,925,MEDICINA
5,235,MORFOFUNCIONAL II FISIOLOGÍA PRÁCTICA,934,MEDICINA
6,228,MORFOFUNCIONAL I EMBRIOLOGÍA,943,MEDICINA
7,226,MORFOFUNCIONAL I HISTOLOGÍA TEORÍA,1259,MEDICINA
8,165,MICROFINANZAS,1535,ADMINISTRACIÓN EN BANCA Y FINANZAS
9,242,ADMINISTRACIÓN I,1843,ADMINISTRACIÓN DE EMPRESAS
10,81,ECONOMÍA DEL ECUADOR,2329,ECONOMÍA
11,231,MORFOFUNCIONAL III ANATOMÍA TEORÍA,2742,MEDICINA
12,233,MORFOFUNCIONAL III FISIOLOGÍA PRÁCTICA,3025,MEDICINA
13,123,CUIDADOS DE LA PERSONA ENFERMA,3034,MEDICINA
14,245,ADMINISTRACIÓN EN SALUD,3274,MEDICINA
15,54,EXTERNADO GP 3.3,3283,MEDICINA
16,254,BIOQUÍMICA,3292,MEDICINA
17,45,CONTABILIDAD GENERAL,3528,CONTABILIDAD Y AUDITORÍA
18,239,MORFOFUNCIONAL II HISTOLOGÍA TEORÍA,3537,MEDICINA
19,100,FUNDAMENTOS FILOSÓFICOS DE LA MEDICINA,3790,MEDICINA
20,257,INTEGRADO DE CLÍNICAS QUIRÚRGICAS TRAUMATOLOGÍA,4068,MEDICINA
21,227,MORFOFUNCIONAL I ANATOMÍA TEORÍA,4077,MEDICINA
22,189,SEMIOTECNIA,4410,MEDICINA
23,142,"TALLERES: RCP, SIGNOS VITALES, VENDAJES, INYECCIONES",4419,MEDICINA
24,40,MATEMÁTICAS PARA LAS CIENCIAS BIOMÉDICAS,4703,MEDICINA
25,57,FAMILIA Y VIDA GP1.1,5139,MEDICINA
26,260,INTEGRADO DE CLÍNICA I: FISIOPATOLOGÍA,5400,MEDICINA
27,257,INTEGRADO DE CLÍNICA QUIRÚRGICAS UROLOGÍA,5756,MEDICINA
28,44,BIOLOGÍA GENERAL,5765,BIOLOGÍA
29,229,MORFOFUNCIONAL I HISTOLOGÍA PRÁCTICA,6070,MEDICINA
30,251,MICROBIOLOGÍA Y PARASITOLOGÍA,6079,MEDICINA
