,id_materia,codigo,metodo,cluster,asignatura,titulacion
0,2,CURSO_PRE-TNME029_18,HIERARCHY,82,PHYSICS FOR BIOMEDICAL SCIENCES,MEDICINA
1,612,CURSO_PRE-TNME054-2_18,HIERARCHY,93,INTEGRATED MEDICAL CLINIC: ONCOLOGY,MEDICINA
2,621,CURSO_PRE-TNME083-3_18,HIERARCHY,89,INTEGRATED CLINIC III CARDIOVASCULAR,MEDICINA
3,630,CURSO_PRE-TNME075-6_18,HIERARCHY,46,FUNCTIONAL MORPHOLOGY IV NEUROPHYSIOLOGY THEORY,MEDICINA
4,925,CURSO_PRE-TNME026-1_18,HIERARCHY,40,FUNCTIONAL MORPHOLOGY II ANATOMY THEORY,MEDICINA
5,934,CURSO_PRE-TNME026-8_18,HIERARCHY,38,FUNCTIONAL MORPHOLOGY II PRACTICAL PHYSIOLOGY,MEDICINA
6,943,CURSO_PRE-TNME667-4_18,HIERARCHY,54,FUNCTIONAL MORPHOLOGY I EMBRYOLOGY,MEDICINA
7,1259,CURSO_PRE-TNME667-3_18,HIERARCHY,44,FUNCTIONAL MORPHOLOGY I HISTOLOGY THEORY,MEDICINA
8,1535,CURSO_UTPL-TN-ABF016_18,HIERARCHY,295,MICRO FINANCE,ADMINISTRACIÓN EN BANCA Y FINANZAS
9,1843,CURSO_UTPL-TNAE005_18,HIERARCHY,293,ADMINISTRATION I,ADMINISTRACIÓN DE EMPRESAS
10,2329,CURSO_UTPL-TNEC013_18,HIERARCHY,87,ECONOMICS OF ECUADOR,ECONOMÍA
11,2742,CURSO_PRE-TNME072-1_18,HIERARCHY,50,FUNCTIONAL MORPHOLOGY III ANATOMY THEORY,MEDICINA
12,3025,CURSO_PRE-TNME072-4_18,HIERARCHY,48,FUNCTIONAL MORPHOLOGY III PRACTICAL PHYSIOLOGY,MEDICINA
13,3034,CURSO_PRE-TNME076_18,HIERARCHY,170,CARE OF THE SICK PERSON,MEDICINA
14,3274,CURSO_PRE-TNME089_18,HIERARCHY,62,HEALTH MANAGEMENT,MEDICINA
15,3283,CURSO_PRE-TNME088_18,HIERARCHY,74,EXTERNAL GP 3.3,MEDICINA
16,3292,CURSO_UTPL-TNBIF001_18,HIERARCHY,306,BIOCHEMISTRY,MEDICINA
17,3528,CURSO_PRE-TNICA205_18,HIERARCHY,76,GENERAL ACCOUNTING,CONTABILIDAD Y AUDITORÍA
18,3537,CURSO_PRE-TNME026-4_18,HIERARCHY,45,FUNCTIONAL MORPHOLOGY II HISTOLOGY THEORY,MEDICINA
19,3790,CURSO_PRE-TNME073_18,HIERARCHY,218,PHILOSOPHICAL BASICS OF MEDICINE,MEDICINA
20,4068,CURSO_PRE-TNME055-5_18,HIERARCHY,238,INTEGRATED SURGICAL CLINICS TRAUMATOLOGY,MEDICINA
21,4077,CURSO_PRE-TNME067-1_18,HIERARCHY,51,FUNCTIONAL MORPHOLOGY I ANATOMY THEORY,MEDICINA
22,4410,CURSO_UTPL-TN0081_18,HIERARCHY,172,SEMIOTIC TECHNIQUES,MEDICINA
23,4419,CURSO_PRE-TNME203_18,HIERARCHY,252,"WORKSHOPS: CPR, VITAL SIGNS, BANDAGES, INJECTIONS",MEDICINA
24,4703,CURSO_PRE-TNME069_18,HIERARCHY,78,MATHEMATICS FOR BIOMEDICAL SCIENCES,MEDICINA
25,5139,CURSO_PRE-TNME020_18,HIERARCHY,72,FAMILY AND LIFE GP1.1,MEDICINA
26,5400,CURSO_PRE-TNME077-3_18,HIERARCHY,93,INTEGRATED CLINIC I: PHYSIOPATHOLOGY,MEDICINA
27,5756,CURSO_PRE-TNME055-2_18,HIERARCHY,93,INTEGRATED CLINIC SURGICAL UROLOGY,MEDICINA
28,5765,CURSO_UTPL-TNBIO001_18,HIERARCHY,77,GENERAL BIOLOGY,BIOLOGÍA
