,cluster,asignatura,id,titulacion
0,51,FÍSICA PARA LAS CIENCIAS BIOMÉDICAS,2,MEDICINA
1,595,INTEGRADO DE CLÍNICA MEDICA: ONCOLOGÍA,612,MEDICINA
2,591,INTEGRADO DE CLÍNICA III CARDIOVASCULAR,621,MEDICINA
3,508,MORFOFUNCIONAL IV NEUROFISIOLOGÍA TEORÍA,630,MEDICINA
4,524,MORFOFUNCIONAL II ANATOMÍA TEORÍA,925,MEDICINA
5,522,MORFOFUNCIONAL II FISIOLOGÍA PRÁCTICA,934,MEDICINA
6,515,MORFOFUNCIONAL I EMBRIOLOGÍA,943,MEDICINA
7,513,MORFOFUNCIONAL I HISTOLOGÍA TEORÍA,1259,MEDICINA
8,350,MICROFINANZAS,1535,ADMINISTRACIÓN EN BANCA Y FINANZAS
9,533,ADMINISTRACIÓN I,1843,ADMINISTRACIÓN DE EMPRESAS
10,147,ECONOMÍA DEL ECUADOR,2329,ECONOMÍA
11,518,MORFOFUNCIONAL III ANATOMÍA TEORÍA,2742,MEDICINA
12,520,MORFOFUNCIONAL III FISIOLOGÍA PRÁCTICA,3025,MEDICINA
13,272,CUIDADOS DE LA PERSONA ENFERMA,3034,MEDICINA
14,543,ADMINISTRACIÓN EN SALUD,3274,MEDICINA
15,86,EXTERNADO GP 3.3,3283,MEDICINA
16,588,BIOQUÍMICA,3292,MEDICINA
17,61,CONTABILIDAD GENERAL,3528,CONTABILIDAD Y AUDITORÍA
18,526,MORFOFUNCIONAL II HISTOLOGÍA TEORÍA,3537,MEDICINA
19,214,FUNDAMENTOS FILOSÓFICOS DE LA MEDICINA,3790,MEDICINA
20,596,INTEGRADO DE CLÍNICAS QUIRÚRGICAS TRAUMATOLOGÍA,4068,MEDICINA
21,514,MORFOFUNCIONAL I ANATOMÍA TEORÍA,4077,MEDICINA
22,406,SEMIOTECNIA,4410,MEDICINA
23,314,"TALLERES: RCP, SIGNOS VITALES, VENDAJES, INYECCIONES",4419,MEDICINA
24,46,MATEMÁTICAS PARA LAS CIENCIAS BIOMÉDICAS,4703,MEDICINA
25,90,FAMILIA Y VIDA GP1.1,5139,MEDICINA
26,602,INTEGRADO DE CLÍNICA I: FISIOPATOLOGÍA,5400,MEDICINA
27,596,INTEGRADO DE CLÍNICA QUIRÚRGICAS UROLOGÍA,5756,MEDICINA
28,54,BIOLOGÍA GENERAL,5765,BIOLOGÍA
29,516,MORFOFUNCIONAL I HISTOLOGÍA PRÁCTICA,6070,MEDICINA
30,554,MICROBIOLOGÍA Y PARASITOLOGÍA,6079,MEDICINA
31,523,MORFOFUNCIONAL II ANATOMÍA PRÁCTICA,6387,MEDICINA
32,649,FINANZAS,6396,ADMINISTRACIÓN EN BANCA Y FINANZAS
33,564,PANADERÍA Y PASTELERÍA I,6826,GASTRONOMÍA
34,406,"PARTICIPACIÓN CIUDADANA, TRANSPARENCIA Y LUCHA CONTRA LA CORRUPCIÓN",6835,DERECHO
35,521,MORFOFUNCIONAL III ANATOMÍA PRÁCTICA,6844,MEDICINA
36,601,INTEGRADO DE CLÍNICA I: SEMIOLOGÍA PRÁCTICA,6853,MEDICINA
37,603,INTEGRADO DE CLÍNICA I: SEMIOLOGÍA TEÓRICA,6924,MEDICINA
38,597,INTEGRADO DE CLÍNICAS QUIRÚRGICAS MEDICINA CRÍTICA Y URGENCIAS,6995,MEDICINA
39,87,"INTERNADO: CIRUGÍA, MEDICINA INTERNA, GINECOLOGÍA-OBSTETRICIA, PEDIATRÍA GP 4.2",7004,MEDICINA
40,95,MEDICINA COMUNITARIA GP 2.1,7013,MEDICINA
41,525,MORFOFUNCIONAL II FISIOLOGÍA TEORÍA,7310,MEDICINA
42,364,"ERGONOMÍA ENFOCADA AL DISEÑO, POSTUROLOGÍA, FISIOLOGÍA Y ÁREAS COGNITIVAS",7352,INGENIERÍA INDUSTRIAL
43,91,FAMILIA Y VIDA GP 1.2,7361,MEDICINA
44,365,GINECOLOGÍA  Y OBSTETRICIA: GINECOLOGÍA,7737,MEDICINA
45,595,INTEGRADO DE CLÍNICA MEDICA: NEUROLOGÍA,7746,MEDICINA
46,591,INTEGRADO DE CLÍNICA III RESPIRATORIO,7755,MEDICINA
47,347,ÉTICA MEDICA,7764,MEDICINA
48,300,BIOESTADÍSTICA,7773,GESTIÓN AMBIENTAL
49,153,INTRODUCCIÓN A LA AUDITORÍA,8123,CONTABILIDAD Y AUDITORÍA
50,146,FIBRAS NATURALES,8730,ARTES PLÁSTICAS Y DISEÑO
51,570,COCINA I,8739,GASTRONOMÍA
52,407,ENOLOGÍA Y MIXOLOGÍA,8748,GASTRONOMÍA
53,221,"TURISMO, GASTRONOMIA Y NUEVAS TECNOLOGÍAS",8757,HOTELERÍA Y TURISMO
54,138,SALUD PÚBLICA,8766,MEDICINA
55,365,GINECOLOGÍA Y OBSTETRICIA: OBSTETRICIA,9054,MEDICINA
56,595,INTEGRADO DE CLÍNICA MEDICA: INMUNO-REUMATOLOGÍA,9063,MEDICINA
57,154,INTRODUCCIÓN A LOS ESTUDIOS MÉDICOS,9072,MEDICINA
58,517,MORFOFUNCIONAL I ANATOMÍA PRÁCTICA,9309,MEDICINA
59,344,PERIODISMO EN BASE DE DATOS,9644,COMUNICACIÓN SOCIAL
60,247,ARQUITECTURA LATINOAMERICANA: ECUADOR Y PERÚ,9653,ARQUITECTURA
61,619,BIOLOGÍA CELULAR Y MOLECULAR,9662,MEDICINA
62,519,MORFOFUNCIONAL III FISIOLOGÍA TEORÍA,9900,MEDICINA
63,56,PATOLOGÍA GENERAL,10129,MEDICINA
64,598,INTEGRADO DE CLÍNICAS QUIRÚRGICAS CIRUGÍA GENERAL Y TÉCNICA QUIRÚRGICA,10440,MEDICINA
65,83,EXTERNADO GP 3.1,10449,MEDICINA
66,592,INTEGRADO DE CLINICA III IMAGEN,10458,MEDICINA
67,592,INTEGRADO DE CLINICA III RENAL,10467,MEDICINA
68,103,"INTRODUCCION A LA INGENIERÍA QUÍMICA, INDUSTRIA, AMBIENTE Y DESARROLLO",10476,INGENIERÍA QUÍMICA
69,509,MORFOFUNCIONAL IV NEUROFISIOLOGÍA PRÁCTICA,10485,MEDICINA
70,527,MORFOFUNCIONAL II HISTOLOGÍA PRÁCTICA,10634,MEDICINA
71,226,CIENCIAS PENALES,10889,DERECHO
72,219,NUEVAS TECNOLOGÍAS APLICADAS AL DERECHO,10898,DERECHO
73,125,INTRODUCCIÓN AL DERECHO,10907,DERECHO
74,16,GESTIÓN PRODUCTIVA GP 2,10916,DERECHO
75,115,DERECHO PROCESAL LABORAL,11314,DERECHO
76,38,TRABAJO DE FIN DE CARRERA 4.1,11323,DERECHO
77,116,"DERECHO CIVIL IV, OBLIGACIONES Y CONTRATOS",11556,DERECHO
78,117,DERECHO INTERNACIONAL PRIVADO,11565,DERECHO
79,119,DERECHO CONSTITUCIONAL,11574,DERECHO
80,141,RELACIONES PÚBLICAS Y PROTOCOLO,11583,HOTELERÍA Y TURISMO
81,120,FILOSOFÍA DEL DERECHO,12028,DERECHO
82,377,MEDIOS ALTERNATIVOS DE RESOLUCIÓN DE CONFLICTOS,12037,DERECHO
83,127,DERECHO PROCESAL CIVIL II,12046,DERECHO
84,128,DERECHO PROCESAL PENAL I,12055,DERECHO
85,128,DERECHO PENAL I,12064,DERECHO
86,11,GESTIÓN PRODUCTIVA GP 1,12073,DERECHO
87,119,DERECHO DE INTEGRACIÓN,12379,DERECHO
88,117,DERECHO INTERNACIONAL PÚBLICO,12388,DERECHO
89,563,"LEYES ESPECIALES I, INQUILINATO, NOTARIAL Y REGISTRAL",12397,DERECHO
90,437,DERECHO AMBIENTAL,12406,DERECHO
91,3,GESTIÓN PRODUCTIVA 3.1,12415,DERECHO
92,127,"DERECHO CIVIL II, BIENES",12616,DERECHO
93,37,TRABAJO DE FIN DE CARRERA 4.2,12625,DERECHO
94,1,GESTIÓN PRODUCTIVA 3.2,12829,DERECHO
95,570,PSICOTERAPIA I,13030,PSICOLOGÍA
96,59,PSICOLOGÍA GENERAL,13039,PSICOLOGÍA
97,3,GESTIÓN PRODUCTIVA 3.1,13048,PSICOLOGÍA
98,571,PSICOPATOLOGÍA I,13057,PSICOLOGÍA
99,565,EVALUACIÓN Y DIAGNÓSTICO I,13066,PSICOLOGÍA
100,192,PSICOLOGÍA SOCIAL,13075,PSICOLOGÍA
101,260,TÉCNICAS DE INTERVENCIÓN PSICOPEDAGÓGICA,13084,PSICOLOGÍA
102,11,GESTIÓN PRODUCTIVA GP 1,13093,PSICOLOGÍA
103,187,PSICOLOGÍA DEL DESEMPEÑO II,13102,PSICOLOGÍA
104,529,ESTADÍSTICA II,13111,PSICOLOGÍA
105,36,TRABAJO DE FIN DE CARRERA GP 4.2,13120,PSICOLOGÍA
106,12,GESTIÓN PRODUCTIVA 4.1,13449,PSICOLOGÍA
107,193,PSICOLOGÍA ORGANIZACIONAL,13673,PSICOLOGÍA
108,397,PSICOPEDAGOGÍA,13682,PSICOLOGÍA
109,188,INTRODUCCIÓN A LA PSICOLOGÍA CLÍNICA,13691,PSICOLOGÍA
110,390,NEUROPSICOLOGÍA,13700,PSICOLOGÍA
111,189,PSICOLOGÍA DE LA PERSONALIDAD,13709,PSICOLOGÍA
112,187,PSICOLOGÍA DEL DESARROLLO II,13718,PSICOLOGÍA
113,404,"RECLUTAMIENTO, SELECCIÓN E INDUCCIÓN DE PERSONAL",13727,PSICOLOGÍA
114,139,OPINIÓN PÚBLICA,13736,RELACIONES PUBLICAS
115,29,PROYECTO DE FIN  DE CARRERA 4.1,13745,RELACIONES PUBLICAS
116,5,GESTIÓN PRODUCTIVA 2.1,13754,RELACIONES PUBLICAS
117,123,DERECHO Y PRÁCTICA PROFESIONAL,13763,RELACIONES PUBLICAS
118,3,GESTIÓN PRODUCTIVA 3.1,13772,RELACIONES PUBLICAS
119,308,LINGÜÍSTICA,13781,RELACIONES PUBLICAS
120,311,RELACIONES HUMANAS,13790,RELACIONES PUBLICAS
121,167,INVESTIGACIÓN DE MERCADOS,13799,RELACIONES PUBLICAS
122,32,PROYECTO DE FIN  DE CARRERA 4.2,14311,RELACIONES PUBLICAS
123,177,DISEÑO GRAFICO,14604,RELACIONES PUBLICAS
124,443,RESPONSABILIDAD SOCIAL EMPRESARIAL,14613,RELACIONES PUBLICAS
125,1,GESTIÓN PRODUCTIVA 3.2,14622,RELACIONES PUBLICAS
126,530,ESTADÍSTICA,14918,RELACIONES PUBLICAS
127,362,SOCIOLOGÍA,14927,RELACIONES PUBLICAS
128,410,MONTAJE EN CONSULTORÍA DE RRPP,14936,RELACIONES PUBLICAS
129,142,TÉCNICAS DE RELACIONES PÚBLICAS,14945,RELACIONES PUBLICAS
130,183,MARKETING,14954,RELACIONES PUBLICAS
