,id_materia,codigo,metodo,cluster,asignatura,titulacion
0,2,CURSO_PRE-TNME029_18,HIERARCHY,51,FÍSICA PARA LAS CIENCIAS BIOMÉDICAS,MEDICINA
1,612,CURSO_PRE-TNME054-2_18,HIERARCHY,573,INTEGRADO DE CLÍNICA MEDICA: ONCOLOGÍA,MEDICINA
2,621,CURSO_PRE-TNME083-3_18,HIERARCHY,569,INTEGRADO DE CLÍNICA III CARDIOVASCULAR,MEDICINA
3,630,CURSO_PRE-TNME075-6_18,HIERARCHY,486,MORFOFUNCIONAL IV NEUROFISIOLOGÍA TEORÍA,MEDICINA
4,925,CURSO_PRE-TNME026-1_18,HIERARCHY,502,MORFOFUNCIONAL II ANATOMÍA TEORÍA,MEDICINA
5,934,CURSO_PRE-TNME026-8_18,HIERARCHY,500,MORFOFUNCIONAL II FISIOLOGÍA PRÁCTICA,MEDICINA
6,943,CURSO_PRE-TNME667-4_18,HIERARCHY,493,MORFOFUNCIONAL I EMBRIOLOGÍA,MEDICINA
7,1259,CURSO_PRE-TNME667-3_18,HIERARCHY,491,MORFOFUNCIONAL I HISTOLOGÍA TEORÍA,MEDICINA
8,1535,CURSO_UTPL-TN-ABF016_18,HIERARCHY,350,MICROFINANZAS,ADMINISTRACIÓN EN BANCA Y FINANZAS
9,1843,CURSO_UTPL-TNAE005_18,HIERARCHY,511,ADMINISTRACIÓN I,ADMINISTRACIÓN DE EMPRESAS
10,2329,CURSO_UTPL-TNEC013_18,HIERARCHY,147,ECONOMÍA DEL ECUADOR,ECONOMÍA
11,2742,CURSO_PRE-TNME072-1_18,HIERARCHY,496,MORFOFUNCIONAL III ANATOMÍA TEORÍA,MEDICINA
12,3025,CURSO_PRE-TNME072-4_18,HIERARCHY,498,MORFOFUNCIONAL III FISIOLOGÍA PRÁCTICA,MEDICINA
13,3034,CURSO_PRE-TNME076_18,HIERARCHY,272,CUIDADOS DE LA PERSONA ENFERMA,MEDICINA
14,3274,CURSO_PRE-TNME089_18,HIERARCHY,521,ADMINISTRACIÓN EN SALUD,MEDICINA
15,3283,CURSO_PRE-TNME088_18,HIERARCHY,86,EXTERNADO GP 3.3,MEDICINA
16,3292,CURSO_UTPL-TNBIF001_18,HIERARCHY,566,BIOQUÍMICA,MEDICINA
17,3528,CURSO_PRE-TNICA205_18,HIERARCHY,61,CONTABILIDAD GENERAL,CONTABILIDAD Y AUDITORÍA
18,3537,CURSO_PRE-TNME026-4_18,HIERARCHY,504,MORFOFUNCIONAL II HISTOLOGÍA TEORÍA,MEDICINA
19,3790,CURSO_PRE-TNME073_18,HIERARCHY,214,FUNDAMENTOS FILOSÓFICOS DE LA MEDICINA,MEDICINA
20,4068,CURSO_PRE-TNME055-5_18,HIERARCHY,574,INTEGRADO DE CLÍNICAS QUIRÚRGICAS TRAUMATOLOGÍA,MEDICINA
21,4077,CURSO_PRE-TNME067-1_18,HIERARCHY,492,MORFOFUNCIONAL I ANATOMÍA TEORÍA,MEDICINA
22,4410,CURSO_UTPL-TN0081_18,HIERARCHY,387,SEMIOTECNIA,MEDICINA
23,4419,CURSO_PRE-TNME203_18,HIERARCHY,314,"TALLERES: RCP, SIGNOS VITALES, VENDAJES, INYECCIONES",MEDICINA
24,4703,CURSO_PRE-TNME069_18,HIERARCHY,46,MATEMÁTICAS PARA LAS CIENCIAS BIOMÉDICAS,MEDICINA
25,5139,CURSO_PRE-TNME020_18,HIERARCHY,90,FAMILIA Y VIDA GP1.1,MEDICINA
26,5400,CURSO_PRE-TNME077-3_18,HIERARCHY,580,INTEGRADO DE CLÍNICA I: FISIOPATOLOGÍA,MEDICINA
27,5756,CURSO_PRE-TNME055-2_18,HIERARCHY,574,INTEGRADO DE CLÍNICA QUIRÚRGICAS UROLOGÍA,MEDICINA
28,5765,CURSO_UTPL-TNBIO001_18,HIERARCHY,54,BIOLOGÍA GENERAL,BIOLOGÍA
29,6070,CURSO_PRE-TNME667-5_18,HIERARCHY,494,MORFOFUNCIONAL I HISTOLOGÍA PRÁCTICA,MEDICINA
30,6079,CURSO_PRE-TNME079_18,HIERARCHY,532,MICROBIOLOGÍA Y PARASITOLOGÍA,MEDICINA
31,6387,CURSO_PRE-TNME026-5_18,HIERARCHY,501,MORFOFUNCIONAL II ANATOMÍA PRÁCTICA,MEDICINA
32,6396,CURSO_PRE-TNBF202_18,HIERARCHY,627,FINANZAS,ADMINISTRACIÓN EN BANCA Y FINANZAS
33,6826,CURSO_UTPL-TN0066_18,HIERARCHY,542,PANADERÍA Y PASTELERÍA I,GASTRONOMÍA
34,6835,CURSO_UTPL-TN0121_18,HIERARCHY,387,"PARTICIPACIÓN CIUDADANA, TRANSPARENCIA Y LUCHA CONTRA LA CORRUPCIÓN",DERECHO
35,6844,CURSO_PRE-TNME072-2_18,HIERARCHY,499,MORFOFUNCIONAL III ANATOMÍA PRÁCTICA,MEDICINA
36,6853,CURSO_PRE-TNME077-2_18,HIERARCHY,579,INTEGRADO DE CLÍNICA I: SEMIOLOGÍA PRÁCTICA,MEDICINA
37,6924,CURSO_PRE-TNME077-1_18,HIERARCHY,581,INTEGRADO DE CLÍNICA I: SEMIOLOGÍA TEÓRICA,MEDICINA
38,6995,CURSO_PRE-TNME055-3_18,HIERARCHY,575,INTEGRADO DE CLÍNICAS QUIRÚRGICAS MEDICINA CRÍTICA Y URGENCIAS,MEDICINA
39,7004,CURSO_PRE-TNME064_18,HIERARCHY,87,"INTERNADO: CIRUGÍA, MEDICINA INTERNA, GINECOLOGÍA-OBSTETRICIA, PEDIATRÍA GP 4.2",MEDICINA
40,7013,CURSO_PRE-TNME037_18,HIERARCHY,95,MEDICINA COMUNITARIA GP 2.1,MEDICINA
41,7310,CURSO_PRE-TNME026-3_18,HIERARCHY,503,MORFOFUNCIONAL II FISIOLOGÍA TEORÍA,MEDICINA
42,7352,CURSO_UTPL-TN0179_18,HIERARCHY,364,"ERGONOMÍA ENFOCADA AL DISEÑO, POSTUROLOGÍA, FISIOLOGÍA Y ÁREAS COGNITIVAS",INGENIERÍA INDUSTRIAL
43,7361,CURSO_PRE-TNME025_18,HIERARCHY,91,FAMILIA Y VIDA GP 1.2,MEDICINA
44,7737,CURSO_PRE-TNME060-1_18,HIERARCHY,365,GINECOLOGÍA  Y OBSTETRICIA: GINECOLOGÍA,MEDICINA
45,7746,CURSO_PRE-TNME054-3_18,HIERARCHY,573,INTEGRADO DE CLÍNICA MEDICA: NEUROLOGÍA,MEDICINA
46,7755,CURSO_PRE-TNME083-2_18,HIERARCHY,569,INTEGRADO DE CLÍNICA III RESPIRATORIO,MEDICINA
47,7764,CURSO_PRE-TNME084_18,HIERARCHY,347,ÉTICA MEDICA,MEDICINA
48,7773,CURSO_UTPL-TNGA029_18,HIERARCHY,300,BIOESTADÍSTICA,GESTIÓN AMBIENTAL
49,8123,CURSO_PRE-TNICA204_18,HIERARCHY,153,INTRODUCCIÓN A LA AUDITORÍA,CONTABILIDAD Y AUDITORÍA
50,8730,CURSO_UTPL-TN0129_18,HIERARCHY,146,FIBRAS NATURALES,ARTES PLÁSTICAS Y DISEÑO
51,8739,CURSO_PRE-TNGAS003_18,HIERARCHY,548,COCINA I,GASTRONOMÍA
52,8748,CURSO_UTPL-TN0063_18,HIERARCHY,387,ENOLOGÍA Y MIXOLOGÍA,GASTRONOMÍA
53,8757,CURSO_UTPL-TN0171_18,HIERARCHY,221,"TURISMO, GASTRONOMIA Y NUEVAS TECNOLOGÍAS",HOTELERÍA Y TURISMO
54,8766,CURSO_PRE-TNME041_18,HIERARCHY,138,SALUD PÚBLICA,MEDICINA
55,9054,CURSO_PRE-TNME060-2_18,HIERARCHY,365,GINECOLOGÍA Y OBSTETRICIA: OBSTETRICIA,MEDICINA
56,9063,CURSO_PRE-TNME054-1_18,HIERARCHY,573,INTEGRADO DE CLÍNICA MEDICA: INMUNO-REUMATOLOGÍA,MEDICINA
57,9072,CURSO_PRE-TNME068_18,HIERARCHY,154,INTRODUCCIÓN A LOS ESTUDIOS MÉDICOS,MEDICINA
58,9309,CURSO_PRE-TNME667-2_18,HIERARCHY,495,MORFOFUNCIONAL I ANATOMÍA PRÁCTICA,MEDICINA
59,9644,CURSO_UTPL-TN0178_18,HIERARCHY,344,PERIODISMO EN BASE DE DATOS,COMUNICACIÓN SOCIAL
60,9653,CURSO_UTPL-TN0182_18,HIERARCHY,247,ARQUITECTURA LATINOAMERICANA: ECUADOR Y PERÚ,ARQUITECTURA
61,9662,CURSO_PRE-TNME071_18,HIERARCHY,597,BIOLOGÍA CELULAR Y MOLECULAR,MEDICINA
62,9900,CURSO_PRE-TNME072-3_18,HIERARCHY,497,MORFOFUNCIONAL III FISIOLOGÍA TEORÍA,MEDICINA
63,10129,CURSO_PRE-TNME078_18,HIERARCHY,56,PATOLOGÍA GENERAL,MEDICINA
64,10440,CURSO_PRE-TNME055-4_18,HIERARCHY,576,INTEGRADO DE CLÍNICAS QUIRÚRGICAS CIRUGÍA GENERAL Y TÉCNICA QUIRÚRGICA,MEDICINA
65,10449,CURSO_PRE-TNME046_18,HIERARCHY,83,EXTERNADO GP 3.1,MEDICINA
66,10458,CURSO_PRE-TNME083-1_18,HIERARCHY,570,INTEGRADO DE CLINICA III IMAGEN,MEDICINA
67,10467,CURSO_PRE-TNME083-4_18,HIERARCHY,570,INTEGRADO DE CLINICA III RENAL,MEDICINA
68,10476,CURSO_UTPL-TN0180_18,HIERARCHY,103,"INTRODUCCION A LA INGENIERÍA QUÍMICA, INDUSTRIA, AMBIENTE Y DESARROLLO",INGENIERÍA QUÍMICA
69,10485,CURSO_PRE-TNME075-5_18,HIERARCHY,487,MORFOFUNCIONAL IV NEUROFISIOLOGÍA PRÁCTICA,MEDICINA
70,10634,CURSO_PRE-TNME026-2_18,HIERARCHY,505,MORFOFUNCIONAL II HISTOLOGÍA PRÁCTICA,MEDICINA
71,10889,CURSO_UTPL-TNCJ008_18,HIERARCHY,226,CIENCIAS PENALES,DERECHO
72,10898,CURSO_UTPL-TNCJ006_18,HIERARCHY,219,NUEVAS TECNOLOGÍAS APLICADAS AL DERECHO,DERECHO
73,10907,CURSO_UTPL-TNCJ001_18,HIERARCHY,125,INTRODUCCIÓN AL DERECHO,DERECHO
74,10916,CURSO_PRE-TNCJ053_18,HIERARCHY,16,GESTIÓN PRODUCTIVA GP 2,DERECHO
75,11314,CURSO_UTPL-TNCJ021_18,HIERARCHY,115,DERECHO PROCESAL LABORAL,DERECHO
76,11323,CURSO_PRE-TNCJ056_18,HIERARCHY,38,TRABAJO DE FIN DE CARRERA 4.1,DERECHO
77,11556,CURSO_UTPL-TNCJ015_18,HIERARCHY,116,"DERECHO CIVIL IV, OBLIGACIONES Y CONTRATOS",DERECHO
78,11565,CURSO_UTPL-TNCJ030_18,HIERARCHY,117,DERECHO INTERNACIONAL PRIVADO,DERECHO
79,11574,CURSO_UTPL-TNCJ002_18,HIERARCHY,119,DERECHO CONSTITUCIONAL,DERECHO
80,11583,CURSO_UTPL-TNHT004_18,HIERARCHY,141,RELACIONES PÚBLICAS Y PROTOCOLO,HOTELERÍA Y TURISMO
81,12028,CURSO_UTPL-TNCJ007_18,HIERARCHY,120,FILOSOFÍA DEL DERECHO,DERECHO
82,12037,CURSO_UTPL-TNCJ028_18,HIERARCHY,377,MEDIOS ALTERNATIVOS DE RESOLUCIÓN DE CONFLICTOS,DERECHO
83,12046,CURSO_UTPL-TNCJ023_18,HIERARCHY,127,DERECHO PROCESAL CIVIL II,DERECHO
84,12055,CURSO_UTPL-TNCJ022_18,HIERARCHY,128,DERECHO PROCESAL PENAL I,DERECHO
85,12064,CURSO_UTPL-TNCJ014_18,HIERARCHY,128,DERECHO PENAL I,DERECHO
