word,pos,chunk,pnp,rol,lemma
Aerospace,NNP,B-NP,O,O,aerospace
and,CC,I-NP,O,O,and
electronic,JJ,I-NP,O,O,electronic
systems,NNS,I-NP,O,O,system
Aerospace,NNP,B-NP,O,O,aerospace
control,NN,I-NP,O,O,control
Air,NNP,B-NP,O,O,air
traffic,NN,I-NP,O,O,traffic
control,NN,I-NP,O,O,control
Attitude,NN,B-NP,O,O,attitude
control,NN,I-NP,O,O,control
Ground,NN,B-NP,O,O,ground
support,NN,I-NP,O,O,support
Aerospace,NNP,B-NP,O,O,aerospace
engineering,NN,I-NP,O,O,engineering
Aerospace,NNP,B-NP,O,O,aerospace
biophysics,NNS,I-NP,O,O,biophysic
Aerospace,NNP,B-NP,O,O,aerospace
electronics,NNS,I-NP,O,O,electronic
Aerospace,NNP,B-NP,O,O,aerospace
safety,NN,I-NP,O,O,safety
Air,NNP,B-NP,O,O,air
safety,NN,I-NP,O,O,safety
Aerospace,NNP,B-NP,O,O,aerospace
simulation,NN,I-NP,O,O,simulation
Aerospace,NNP,B-NP,O,O,aerospace
testing,NN,I-NP,O,O,testing
Satellites,NNS,B-NP,O,O,satellite
Artificial,JJ,B-NP,O,O,artificial
satellites,NNS,I-NP,O,O,satellite
Earth,NNP-LOC,B-NP,O,NP-SBJ-1,earth
Observing,VBG,B-VP,O,VP-1,observe
System,NNP,B-NP,O,NP-OBJ-1,system
Low,NNP,B-NP,O,O,low
earth,NNP-LOC,I-NP,O,O,earth
orbit,NN,I-NP,O,O,orbit
satellites,NNS,I-NP,O,O,satellite
Moon,NNP,B-NP,O,O,moon
Space,NNP,B-NP,O,O,space
stations,NNS,I-NP,O,O,station
Space,NNP,B-NP,O,O,space
technology,NN,I-NP,O,O,technology
Space,NNP,B-NP,O,O,space
exploration,NN,I-NP,O,O,exploration
Aerospace,NNP,B-NP,O,O,aerospace
materials,NNS,I-NP,O,O,material
Aerospace,NNP,B-NP,O,O,aerospace
components,NNS,I-NP,O,O,component
Aircraft,NNP,B-NP,O,O,aircraft
manufacture,NN,I-NP,O,O,manufacture
Aircraft,NNP,B-NP,O,O,aircraft
navigation,NN,I-NP,O,O,navigation
Aircraft,NNP,B-NP,O,O,aircraft
propulsion,NN,I-NP,O,O,propulsion
Propellers,NNS,B-NP,O,O,propeller
Command,NNP,B-NP,O,O,command
and,CC,I-NP,O,O,and
control,JJ,I-NP,O,O,control
systems,NNS,I-NP,O,O,system
Electronic,JJ,B-NP,O,O,electronic
warfare,NN,I-NP,O,O,warfare
Electronic,JJ,B-NP,O,O,electronic
countermeasures,NNS,I-NP,O,O,countermeasure
Jamming,NN,B-NP,O,O,jamming
Radar,NNP,B-NP,O,O,radar
countermeasures,NNS,I-NP,O,O,countermeasure
Military,JJ,B-NP,O,O,military
equipment,NN,I-NP,O,O,equipment
Military,JJ,B-NP,O,O,military
aircraft,NN,I-NP,O,O,aircraft
Payloads,NNS,B-NP,O,O,payload
Military,JJ,B-NP,O,O,military
satellites,NNS,I-NP,O,O,satellite
Military,JJ,B-NP,O,O,military
