"id_concept","word","pos","chunk","pnp","rol","lemma"
"1","Aerospace","NNP","B-NP","O","O","aerospace"
"1","and","CC","I-NP","O","O","and"
"1","electronic","JJ","I-NP","O","O","electronic"
"1","systems","NNS","I-NP","O","O","system"
"3","Aerospace","NNP","B-NP","O","O","aerospace"
"3","control","NN","I-NP","O","O","control"
"4","Air","NNP","B-NP","O","O","air"
"4","traffic","NN","I-NP","O","O","traffic"
"4","control","NN","I-NP","O","O","control"
"5","Attitude","NN","B-NP","O","O","attitude"
"5","control","NN","I-NP","O","O","control"
"6","Ground","NN","B-NP","O","O","ground"
"6","support","NN","I-NP","O","O","support"
"7","Aerospace","NNP","B-NP","O","O","aerospace"
"7","engineering","NN","I-NP","O","O","engineering"
"8","Aerospace","NNP","B-NP","O","O","aerospace"
"8","biophysics","NNS","I-NP","O","O","biophysic"
"9","Aerospace","NNP","B-NP","O","O","aerospace"
"9","electronics","NNS","I-NP","O","O","electronic"
"10","Aerospace","NNP","B-NP","O","O","aerospace"
"10","safety","NN","I-NP","O","O","safety"
"11","Air","NNP","B-NP","O","O","air"
"11","safety","NN","I-NP","O","O","safety"
"12","Aerospace","NNP","B-NP","O","O","aerospace"
"12","simulation","NN","I-NP","O","O","simulation"
"13","Aerospace","NNP","B-NP","O","O","aerospace"
"13","testing","NN","I-NP","O","O","testing"
"14","Satellites","NNS","B-NP","O","O","satellite"
"15","Artificial","JJ","B-NP","O","O","artificial"
"15","satellites","NNS","I-NP","O","O","satellite"
"16","Earth","NNP-LOC","B-NP","O","NP-SBJ-1","earth"
"16","Observing","VBG","B-VP","O","VP-1","observe"
"16","System","NNP","B-NP","O","NP-OBJ-1","system"
"17","Low","NNP","B-NP","O","O","low"
"17","earth","NNP-LOC","I-NP","O","O","earth"
"17","orbit","NN","I-NP","O","O","orbit"
"17","satellites","NNS","I-NP","O","O","satellite"
"18","Moon","NNP","B-NP","O","O","moon"
"20","Space","NNP","B-NP","O","O","space"
"20","stations","NNS","I-NP","O","O","station"
"21","Space","NNP","B-NP","O","O","space"
"21","technology","NN","I-NP","O","O","technology"
"22","Space","NNP","B-NP","O","O","space"
"22","exploration","NN","I-NP","O","O","exploration"
"23","Aerospace","NNP","B-NP","O","O","aerospace"
"23","materials","NNS","I-NP","O","O","material"
"24","Aerospace","NNP","B-NP","O","O","aerospace"
"24","components","NNS","I-NP","O","O","component"
"25","Aircraft","NNP","B-NP","O","O","aircraft"
"25","manufacture","NN","I-NP","O","O","manufacture"
"26","Aircraft","NNP","B-NP","O","O","aircraft"
"26","navigation","NN","I-NP","O","O","navigation"
"27","Aircraft","NNP","B-NP","O","O","aircraft"
"27","propulsion","NN","I-NP","O","O","propulsion"
"28","Propellers","NNS","B-NP","O","O","propeller"
"29","Command","NNP","B-NP","O","O","command"
"29","and","CC","I-NP","O","O","and"
"29","control","JJ","I-NP","O","O","control"
"29","systems","NNS","I-NP","O","O","system"
"30","Electronic","JJ","B-NP","O","O","electronic"
"30","warfare","NN","I-NP","O","O","warfare"
"31","Electronic","JJ","B-NP","O","O","electronic"
"31","countermeasures","NNS","I-NP","O","O","countermeasure"
"32","Jamming","NN","B-NP","O","O","jamming"
"34","Radar","NNP","B-NP","O","O","radar"
"34","countermeasures","NNS","I-NP","O","O","countermeasure"
"35","Military","JJ","B-NP","O","O","military"
"35","equipment","NN","I-NP","O","O","equipment"
"36","Military","JJ","B-NP","O","O","military"
"36","aircraft","NN","I-NP","O","O","aircraft"
"37","Payloads","NNS","B-NP","O","O","payload"
"38","Military","JJ","B-NP","O","O","military"
"38","satellites","NNS","I-NP","O","O","satellite"
"39","Military","JJ","B-NP","O","O","military"
"39","vehicles","NNS","I-NP","O","O","vehicle"
"40","Weapons","NNP","B-NP","O","O","weapons"
"42","Missiles","NNP","B-NP","O","O","missiles"
"43","Nuclear","JJ","B-NP","O","O","nuclear"
"43","weapons","NNS","I-NP","O","O","weapon"
"44","Projectiles","NNS","B-NP","O","O","projectile"
"45","Radar","NNP","B-NP","O","O","radar"
"46","Airborne","NNP","B-NP","O","O","airborne"
"46","radar","NN","I-NP","O","O","radar"
"47","Bistatic","JJ","B-NP","O","O","bistatic"
"47","radar","NN","I-NP","O","O","radar"
"48","Cognitive","JJ","B-NP","O","O","cognitive"
"48","radar","NN","I-NP","O","O","radar"
"49","Doppler","NNP","B-NP","O","O","doppler"
"49","radar","NN","I-NP","O","O","radar"
"50","Ground","NN","B-NP","O","O","ground"
"50","penetrating","JJ","I-NP","O","O","penetrating"
"50","radar","NN","I-NP","O","O","radar"
"51","Laser","NNP","B-NP","O","O","laser"
"51","radar","NN","I-NP","O","O","radar"
"52","Meteorological","NNP","B-NP","O","O","meteorological"
"52","radar","NN","I-NP","O","O","radar"
"53","Millimeter","NN","B-NP","O","O","millimeter"
"53","wave","NN","I-NP","O","O","wave"
"53","radar","NN","I-NP","O","O","radar"
"54","Multistatic","JJ","B-NP","O","O","multistatic"
"54","radar","NN","I-NP","O","O","radar"
"55","MIMO","JJ","B-NP","O","O","mimo"
"55","radar","NN","I-NP","O","O","radar"
"56","Passive","NNP","B-NP","O","O","passive"
"56","radar","NN","I-NP","O","O","radar"
"57","Radar","NNP","B-NP","O","O","radar"
"57","applications","NNS","I-NP","O","O","application"
"58","Radar","NNP","B-NP","O","O","radar"
"58","countermeasures","NNS","I-NP","O","O","countermeasure"
"59","Radar","NNP","B-NP","O","O","radar"
"59","detection","NN","I-NP","O","O","detection"
"60","Radar","NNP","B-NP","O","O","radar"
"60","imaging","NN","I-NP","O","O","imaging"
"61","Radar","NNP","B-NP","O","O","radar"
"61","measurements","NNS","I-NP","O","O","measurement"
"62","Radar","NNP","B-NP","O","O","radar"
"62","polarimetry","NN","I-NP","O","O","polarimetry"
"63","Radar","NNP","B-NP","O","O","radar"
"63","remote","JJ","B-ADJP","O","O","remote"
"63","sensing","VBG","B-VP","O","O","sense"
"64","Radar","NNP","B-NP","O","O","radar"
"64","tracking","NN","I-NP","O","O","tracking"
"65","Radar","NNP","B-NP","O","O","radar"
"65","clutter","NN","I-NP","O","O","clutter"
"66","Radar","NNP","B-NP","O","O","radar"
"66","cross-sections","NNS","I-NP","O","O","cross-section"
"67","Radar","NNP","B-NP","O","O","radar"
"67","equipment","NN","I-NP","O","O","equipment"
"68","Radar","NNP","B-NP","O","O","radar"
"68","theory","NN","I-NP","O","O","theory"
"69","Spaceborne","JJ","B-NP","O","O","spaceborne"
"69","radar","NN","I-NP","O","O","radar"
"70","Spread","VB","B-VP","O","VP-1","spread"
"70","spectrum","NN","B-NP","O","NP-OBJ-1","spectrum"
"70","radar","NN","I-NP","O","NP-OBJ-1","radar"
"71","Synthetic","JJ","B-NP","O","O","synthetic"
"71","aperture","NN","I-NP","O","O","aperture"
"71","radar","NN","I-NP","O","O","radar"
"72","Inverse","JJ","B-NP","O","O","inverse"
"72","synthetic","JJ","I-NP","O","O","synthetic"
"72","aperture","NN","I-NP","O","O","aperture"
"72","radar","NN","I-NP","O","O","radar"
"73","Polarimetric","JJ","B-NP","O","O","polarimetric"
"73","synthetic","JJ","I-NP","O","O","synthetic"
"73","aperture","NN","I-NP","O","O","aperture"
"73","radar","NN","I-NP","O","O","radar"
"74","Ultra","NNP","B-NP","O","O","ultra"
"74","wideband","CC","I-NP","O","O","wideband"
"74","radar","NN","I-NP","O","O","radar"
"75","Sensor","NNP","B-NP","O","O","sensor"
"75","systems","NNS","I-NP","O","O","system"
"76","Activity","NN","B-NP","O","O","activity"
"76","recognition","NN","I-NP","O","O","recognition"
"77","Gunshot","NN","B-NP","O","O","gunshot"
"77","detection","NN","I-NP","O","O","detection"
"77","systems","NNS","I-NP","O","O","system"
"78","Sonar","NN","B-NP","O","O","sonar"
"80","Guns","NNS","B-NP","O","O","gun"
"84","Sonar","NN","B-NP","O","O","sonar"
"84","applications","NNS","I-NP","O","O","application"
"85","Sonar","NN","B-NP","O","O","sonar"
"85","detection","NN","I-NP","O","O","detection"
"86","Sonar","NN","B-NP","O","O","sonar"
"86","measurements","NNS","I-NP","O","O","measurement"
"87","Sonar","NN","B-NP","O","O","sonar"
"87","equipment","NN","I-NP","O","O","equipment"
"88","Synthetic","JJ","B-NP","O","O","synthetic"
"88","aperture","NN","I-NP","O","O","aperture"
"88","sonar","NN","I-NP","O","O","sonar"
"89","Telemetry","NN","B-NP","O","O","telemetry"
"91","Biomedical","JJ","B-NP","O","O","biomedical"
"91","telemetry","NN","I-NP","O","O","telemetry"
"93","Antennas","NNS","B-NP","O","O","antenna"
"93","and","CC","I-NP","O","O","and"
"93","propagation","NN","I-NP","O","O","propagation"
"95","Antennas","NNS","B-NP","O","O","antenna"
"96","Antenna","NN","B-NP","O","O","antenna"
"96","accessories","NNS","I-NP","O","O","accessory"
"97","Antenna","NN","B-NP","O","O","antenna"
"97","arrays","NNS","I-NP","O","O","array"
"98","Adaptive","CD","B-NP","O","O","adaptive"
"98","arrays","NNS","I-NP","O","O","array"
"99","Butler","NNP","B-NP","O","O","butler"
"99","matrices","NNS","I-NP","O","O","matrix"
"100","Linear","NNP","B-NP","O","O","linear"
"100","antenna","NN","I-NP","O","O","antenna"
"100","arrays","NNS","I-NP","O","O","array"
"101","Log","NN","B-NP","O","O","log"
"101","periodic","JJ","I-NP","O","O","periodic"
"101","antennas","NNS","I-NP","O","O","antenna"
"102","Microstrip","NNP","B-NP","O","O","microstrip"
"102","antenna","NN","I-NP","O","O","antenna"
"102","arrays","NNS","I-NP","O","O","array"
"103","Microwave","NNP","B-NP","O","O","microwave"
"103","antenna","NN","I-NP","O","O","antenna"
"103","arrays","NNS","I-NP","O","O","array"
"104","Phased","VBN","B-VP","O","VP-1","phase"
"104","arrays","NNS","B-NP","O","NP-OBJ-1","array"
"105","Planar","NNP","B-NP","O","O","planar"
"105","arrays","NNS","I-NP","O","O","array"
"106","Antenna","NN","B-NP","O","O","antenna"
"106","radiation","NN","I-NP","O","O","radiation"
"106","patterns","NNS","I-NP","O","O","pattern"
"107","Near-field","NN","B-NP","O","O","near-field"
"107","radiation","NN","I-NP","O","O","radiation"
"107","pattern","NN","I-NP","O","O","pattern"
"108","Antenna","NN","B-NP","O","O","antenna"
"108","theory","NN","I-NP","O","O","theory"
"109","Frequency","NNP","B-NP","O","O","frequency"
"109","selective","JJ","I-NP","O","O","selective"
"109","surfaces","NNS","I-NP","O","O","surface"
"110","Apertures","NNS","B-NP","O","O","aperture"
"111","Aperture","NN","B-NP","O","O","aperture"
"111","antennas","NNS","I-NP","O","O","antenna"
"112","Aperture","NN","B-NP","O","NP-SBJ-1","aperture"
"112","coupled","VBN","B-VP","O","VP-1","couple"
"112","antennas","NNS","B-NP","O","NP-OBJ-1","antenna"
"113","Broadband","CC","O","O","O","broadband"
"113","antennas","NNS","B-NP","O","O","antenna"
"114","Ultra","NNP","B-NP","O","O","ultra"
"114","wideband","CC","I-NP","O","O","wideband"
"114","antennas","NNS","I-NP","O","O","antenna"
"115","Vivaldi","NNP","B-NP","O","O","vivaldi"
"115","antennas","NNS","I-NP","O","O","antenna"
"116","Dielectric","NNP","B-NP","O","O","dielectric"
"116","resonator","NN","I-NP","O","O","resonator"
"116","antennas","NNS","I-NP","O","O","antenna"
"117","Dipole","JJ","B-NP","O","O","dipole"
"117","antennas","NNS","I-NP","O","O","antenna"
"118","Directional","JJ","B-NP","O","O","directional"
"118","antennas","NNS","I-NP","O","O","antenna"
"119","Directive","NNP","B-NP","O","O","directive"
"119","antennas","NNS","I-NP","O","O","antenna"
"120","Feeds","NNS","B-NP","O","O","feed"
"121","Antenna","NN","B-NP","O","NP-SBJ-1","antenna"
"121","feeds","VBZ","B-VP","O","VP-1","feed"
"122","Fractal","NNP","B-NP","O","O","fractal"
"122","antennas","NNS","I-NP","O","O","antenna"
"123","Helical","JJ","B-NP","O","O","helical"
"123","antennas","NNS","I-NP","O","O","antenna"
"124","Horn","NNP","B-NP","O","O","horn"
"124","antennas","NNS","I-NP","O","O","antenna"
"125","Leaky","JJ","B-NP","O","O","leaky"
"125","wave","NN","I-NP","O","O","wave"
"125","antennas","NNS","I-NP","O","O","antenna"
"126","Loaded","VBN","B-VP","O","VP-1","load"
"126","antennas","NNS","B-NP","O","NP-OBJ-1","antenna"
"127","Log-periodic","JJ","B-NP","O","O","log-periodic"
"127","dipole","JJ","I-NP","O","O","dipole"
"127","antennas","NNS","I-NP","O","O","antenna"
"128","Microstrip","NNP","B-NP","O","O","microstrip"
"128","antennas","NNS","I-NP","O","O","antenna"
"129","Microwave","NNP","B-NP","O","O","microwave"
"129","antennas","NNS","I-NP","O","O","antenna"
"130","Mobile","NNP","B-NP","O","O","mobile"
"130","antennas","NNS","I-NP","O","O","antenna"
"131","Multifrequency","NN","B-NP","O","O","multifrequency"
"131","antennas","NNS","I-NP","O","O","antenna"
"132","Omnidirectional","JJ","B-NP","O","O","omnidirectional"
"132","antennas","NNS","I-NP","O","O","antenna"
"133","Patch","NNP","B-NP","O","O","patch"
"133","antennas","NNS","I-NP","O","O","antenna"
"135","Radar","NNP","B-NP","O","O","radar"
"135","antennas","NNS","I-NP","O","O","antenna"
"136","Receiving","VBG","B-VP","O","VP-1","receive"
"136","antennas","NNS","B-NP","O","NP-OBJ-1","antenna"
"137","Rectennas","NNP","B-NP","O","O","rectennas"
"138","Reflector","NN","B-NP","O","O","reflector"
"138","antennas","NNS","I-NP","O","O","antenna"
"139","Satellite","NNP","B-NP","O","O","satellite"
"139","antennas","NNS","I-NP","O","O","antenna"
"140","Slot","NN","B-NP","O","O","slot"
"140","antennas","NNS","I-NP","O","O","antenna"
"141","Transmission","NNP","B-NP","O","O","transmission"
"141","line","NN","I-NP","O","O","line"
"141","antennas","NNS","I-NP","O","O","antenna"
"142","Transmitting","VBG","B-VP","O","VP-1","transmit"
"142","antennas","NNS","B-NP","O","NP-OBJ-1","antenna"
"143","UHF","JJ","B-NP","O","O","uhf"
"143","antennas","NNS","I-NP","O","O","antenna"
"144","Yagi-Uda","NN","B-NP","O","O","yagi-uda"
"144","antennas","NNS","I-NP","O","O","antenna"
"145","Electromagnetic","JJ","B-NP","O","O","electromagnetic"
"145","propagation","NN","I-NP","O","O","propagation"
"146","Electromagnetic","JJ","B-NP","O","O","electromagnetic"
"146","diffraction","NN","I-NP","O","O","diffraction"
"147","Optical","NNP","B-NP","O","O","optical"
"147","diffraction","NN","I-NP","O","O","diffraction"
"148","Physical","JJ","B-NP","O","O","physical"
"148","theory","NN","I-NP","O","O","theory"
"148","of","IN","B-PP","B-PNP","O","of"
"148","diffraction","NN","B-NP","I-PNP","O","diffraction"
"149","X-ray","NN","B-NP","O","O","x-ray"
"149","diffraction","NN","I-NP","O","O","diffraction"
"150","Electromagnetic","JJ","B-NP","O","O","electromagnetic"
"150","propagation","NN","I-NP","O","O","propagation"
"150","in","IN","B-PP","B-PNP","O","in"
"150","absorbing","VBG","B-VP","I-PNP","VP-1","absorb"
"150","media","NNS","B-NP","I-PNP","NP-OBJ-1","medium"
"151","Electromagnetic","JJ","B-NP","O","O","electromagnetic"
"151","reflection","NN","I-NP","O","O","reflection"
"152","Optical","NNP","B-NP","O","O","optical"
"152","reflection","NN","I-NP","O","O","reflection"
"153","Microwave","NNP","B-NP","O","O","microwave"
"153","propagation","NN","I-NP","O","O","propagation"
"154","Millimeter","NN","B-NP","O","O","millimeter"
"154","wave","NN","I-NP","O","O","wave"
"154","propagation","NN","I-NP","O","O","propagation"
"155","Optical","NNP","B-NP","O","O","optical"
"155","propagation","NN","I-NP","O","O","propagation"
"156","Optical","NNP","B-NP","O","O","optical"
"156","surface","NN","I-NP","O","O","surface"
"156","waves","NNS","I-NP","O","O","wave"
"157","Optical","NNP","B-NP","O","NP-SBJ-1","optical"
"157","waveguides","VBD","B-VP","O","VP-1","waveguide"
"158","Propagation","NN","B-NP","O","O","propagation"
"158","constant","JJ","B-ADJP","O","O","constant"
"159","Propagation","NN","B-NP","O","O","propagation"
"159","losses","NNS","I-NP","O","O","loss"
"161","Radio","NNP","B-NP","O","O","radio"
"161","propagation","NN","I-NP","O","O","propagation"
"162","Radiowave","NN","B-NP","O","O","radiowave"
"162","propagation","NN","I-NP","O","O","propagation"
"163","Submillimeter","NNP","B-NP","O","O","submillimeter"
"163","wave","NN","I-NP","O","O","wave"
"163","propagation","NN","I-NP","O","O","propagation"
"164","UHF","NNP","B-NP","O","O","uhf"
"164","propagation","NN","I-NP","O","O","propagation"
"165","Radio","NNP","B-NP","O","O","radio"
"165","astronomy","NN","I-NP","O","O","astronomy"
"167","Broadcast","NNP","B-NP","O","O","broadcast"
"167","technology","NN","I-NP","O","O","technology"
"169","Broadcasting","NNP","B-NP","O","O","broadcasting"
"170","Digital","NNP","B-NP","O","O","digital"
"170","audio","JJ","I-NP","O","O","audio"
"170","broadcasting","NN","I-NP","O","O","broadcasting"
"171","Digital","NNP","B-NP","O","O","digital"
"171","audio","NN","I-NP","O","O","audio"
"171","players","NNS","I-NP","O","O","player"
"172","Digital","NNP","B-NP","O","O","digital"
"172","Radio","NNP","I-NP","O","O","radio"
"172","Mondiale","NNP","I-NP","O","O","mondiale"
"173","Digital","NNP","B-NP","O","O","digital"
"173","multimedia","NNS","I-NP","O","O","multimedium"
"173","broadcasting","NN","I-NP","O","O","broadcasting"
"174","Digital","NNP","B-NP","O","O","digital"
"174","video","NN","I-NP","O","O","video"
"174","broadcasting","NN","I-NP","O","O","broadcasting"
"175","Radio","NNP","B-NP","O","O","radio"
"175","broadcasting","NN","I-NP","O","O","broadcasting"
"176","Frequency","NNP","B-NP","O","O","frequency"
"176","modulation","NN","I-NP","O","O","modulation"
"177","Radio","NNP","B-NP","O","O","radio"
"177","networks","NNS","I-NP","O","O","network"
"178","Satellite","NNP","B-NP","O","O","satellite"
"178","broadcasting","NN","I-NP","O","O","broadcasting"
"179","TV","NN","B-NP","O","O","tv"
"179","broadcasting","NN","I-NP","O","O","broadcasting"
"180","Web","NNP","B-NP","O","O","web"
"180","TV","NN","I-NP","O","O","tv"
"182","Circuits","NNS","B-NP","O","O","circuit"
"182","and","CC","I-NP","O","O","and"
"182","systems","NNS","I-NP","O","O","system"
"184","Circuits","NNS","B-NP","O","O","circuit"
"190","Active","JJ","B-NP","O","O","active"
"190","circuits","NNS","I-NP","O","O","circuit"
"191","Active","JJ","B-NP","O","O","active"
"191","inductors","NNS","I-NP","O","O","inductor"
"192","Gyrators","NNS","B-NP","O","O","gyrator"
"193","Operational","JJ","B-NP","O","O","operational"
"193","amplifiers","NNS","I-NP","O","O","amplifier"
"194","Adders","NNS","B-NP","O","O","adder"
"196","Analog","NNP","B-NP","O","O","analog"
"196","circuits","NNS","I-NP","O","O","circuit"
"197","Analog","NNP","B-NP","O","O","analog"
"197","integrated","JJ","I-NP","O","O","integrated"
"197","circuits","NNS","I-NP","O","O","circuit"
"198","Analog","NNP","B-NP","O","NP-SBJ-1","analog"
"198","processing","VBG","B-VP","O","VP-1","process"
"198","circuits","NNS","B-NP","O","NP-OBJ-1","circuit"
"199","Application","NNP","B-NP","O","O","application"
"199","specific","JJ","I-NP","O","O","specific"
"199","integrated","JJ","I-NP","O","O","integrated"
"199","circuits","NNS","I-NP","O","O","circuit"
"200","System-on-chip","NN","B-NP","O","O","system-on-chip"
"201","Asynchronous","JJ","B-NP","O","O","asynchronous"
"201","circuits","NNS","I-NP","O","O","circuit"
"202","Bipolar","JJ","B-NP","O","O","bipolar"
"202","integrated","JJ","I-NP","O","O","integrated"
"202","circuits","NNS","I-NP","O","O","circuit"
"203","BiCMOS","NNP","B-NP","O","O","bicmos"
"203","integrated","JJ","I-NP","O","O","integrated"
"203","circuits","NNS","I-NP","O","O","circuit"
"204","Bipolar","JJ","B-NP","O","O","bipolar"
"204","transistor","NN","I-NP","O","O","transistor"
"204","circuits","NNS","I-NP","O","O","circuit"
"205","Bipolar","JJ","B-NP","O","O","bipolar"
"205","integrated","JJ","I-NP","O","O","integrated"
"205","circuits","NNS","I-NP","O","O","circuit"
"206","Bistable","JJ","B-NP","O","O","bistable"
"206","circuits","NNS","I-NP","O","O","circuit"
"207","Latches","VBZ","B-VP","O","O","latch"
"208","Bridge","NNP","B-NP","O","O","bridge"
"208","circuits","NNS","I-NP","O","O","circuit"
"209","Charge","JJ","B-NP","O","O","charge"
"209","pumps","NNS","I-NP","O","O","pump"
"210","Circuit","JJ","B-NP","O","O","circuit"
"210","analysis","NN","I-NP","O","O","analysis"
"211","Circuit","JJ","B-NP","O","NP-SBJ-1","circuit"
"211","analysis","NN","I-NP","O","NP-SBJ-1","analysis"
"211","computing","VBG","B-VP","O","VP-1","compute"
"212","Coupled","VBN","B-VP","O","VP-1","couple"
"212","mode","NN","B-NP","O","NP-OBJ-1","mode"
"212","analysis","NN","I-NP","O","NP-OBJ-1","analysis"
"213","Nonlinear","JJ","B-NP","O","O","nonlinear"
"213","network","NN","I-NP","O","O","network"
"213","analysis","NN","I-NP","O","O","analysis"
"214","Circuit","NNP","B-NP","O","O","circuit"
"214","faults","NNS","I-NP","O","O","fault"
"215","Electrical","JJ","B-NP","O","O","electrical"
"215","fault","NN","I-NP","O","O","fault"
"215","detection","NN","I-NP","O","O","detection"
"216","Circuit","JJ","B-NP","O","O","circuit"
"216","noise","NN","I-NP","O","O","noise"
"217","Thermal","JJ","B-NP","O","O","thermal"
"217","noise","NN","I-NP","O","O","noise"
"218","Circuit","NNP","B-NP","O","O","circuit"
"218","simulation","NN","I-NP","O","O","simulation"
"219","Circuit","JJ","B-NP","O","O","circuit"
"219","synthesis","NN","I-NP","O","O","synthesis"
"220","High","NNP","B-NP","O","O","high"
"220","level","NN","I-NP","O","O","level"
"220","synthesis","NN","I-NP","O","O","synthesis"
"221","Integrated","NNP","B-NP","O","O","integrated"
"221","circuit","NN","I-NP","O","O","circuit"
"221","synthesis","NN","I-NP","O","O","synthesis"
"222","Coprocessors","NNP","B-NP","O","O","coprocessors"
"223","Counting","VBG","B-VP","O","VP-1","count"
"223","circuits","NNS","B-NP","O","NP-OBJ-1","circuit"
"224","Coupling","VBG","B-VP","O","VP-1","couple"
"224","circuits","NNS","B-NP","O","NP-OBJ-1","circuit"
"225","Digital","NNP","B-NP","O","O","digital"
"225","circuits","NNS","I-NP","O","O","circuit"
"226","Circuit","NNP","B-NP","O","O","circuit"
"226","topology","NN","I-NP","O","O","topology"
"227","Digital","NNP","B-NP","O","O","digital"
"227","integrated","JJ","I-NP","O","O","integrated"
"227","circuits","NNS","I-NP","O","O","circuit"
"228","Digital","NNP","B-NP","O","O","digital"
"228","signal","NN","I-NP","O","O","signal"
"228","processors","NNS","I-NP","O","O","processor"
"229","Distributed","VBN","B-VP","O","VP-1","distribute"
"229","parameter","NN","B-NP","O","NP-OBJ-1","parameter"
"229","circuits","NNS","I-NP","O","NP-OBJ-1","circuit"
"230","Driver","NNP","B-NP","O","O","driver"
"230","circuits","NNS","I-NP","O","O","circuit"
"231","Electronic","JJ","B-NP","O","O","electronic"
"231","circuits","NNS","I-NP","O","O","circuit"
"232","Breadboard","NNP","B-NP","O","O","breadboard"
"232","circuit","NN","I-NP","O","O","circuit"
"233","Central","NNP","B-NP","O","O","central"
"233","Processing","NNP","I-NP","O","O","processing"
"233","Unit","NNP","I-NP","O","O","unit"
"234","Stripboard","NNP","B-NP","O","O","stripboard"
"234","circuit","NN","I-NP","O","O","circuit"
"235","Equivalent","NN","B-NP","O","O","equivalent"
"235","circuits","NNS","I-NP","O","O","circuit"
"236","Feedback","NN","B-NP","O","O","feedback"
"237","Feedback","NN","B-NP","O","O","feedback"
"237","circuits","NNS","I-NP","O","O","circuit"
"239","Negative","JJ","B-NP","O","O","negative"
"239","feedback","NN","I-NP","O","O","feedback"
"240","Neurofeedback","NNP","B-NP","O","O","neurofeedback"
"241","Hybrid","NNP","B-NP","O","O","hybrid"
"241","integrated","JJ","I-NP","O","O","integrated"
"241","circuits","NNS","I-NP","O","O","circuit"
"242","Integrated","NNP","B-NP","O","O","integrated"
"242","circuits","NNS","I-NP","O","O","circuit"
"243","Analog","NNP","B-NP","O","O","analog"
"243","integrated","JJ","I-NP","O","O","integrated"
"243","circuits","NNS","I-NP","O","O","circuit"
"244","Analog-digital","NN","B-NP","O","NP-SBJ-1","analog-digital"
"244","integrated","VBN","B-VP","O","VP-1","integrate"
"244","circuits","NNS","B-NP","O","NP-OBJ-1","circuit"
"245","Application","NNP","B-NP","O","O","application"
"245","specific","JJ","I-NP","O","O","specific"
"245","integrated","JJ","I-NP","O","O","integrated"
"245","circuits","NNS","I-NP","O","O","circuit"
"247","Bipolar","JJ","B-NP","O","O","bipolar"
"247","integrated","JJ","I-NP","O","O","integrated"
"247","circuits","NNS","I-NP","O","O","circuit"
"248","CMOS","NNP","B-NP","O","O","cmos"
"248","integrated","JJ","I-NP","O","O","integrated"
"248","circuits","NNS","I-NP","O","O","circuit"
"249","Coprocessors","NNP","B-NP","O","O","coprocessors"
"250","Current-mode","NNP","B-NP","O","O","current-mode"
"250","circuits","NNS","I-NP","O","O","circuit"
"251","Digital","NNP","B-NP","O","O","digital"
"251","integrated","JJ","I-NP","O","O","integrated"
"251","circuits","NNS","I-NP","O","O","circuit"
"252","FET","NNP","B-NP","O","O","fet"
"252","integrated","JJ","I-NP","O","O","integrated"
"252","circuits","NNS","I-NP","O","O","circuit"
"253","Field","NNP","B-NP","O","O","field"
"253","programmable","JJ","I-NP","O","O","programmable"
"253","gate","NN","I-NP","O","O","gate"
"253","arrays","NNS","I-NP","O","O","array"
"254","Hybrid","NNP","B-NP","O","O","hybrid"
"254","integrated","JJ","I-NP","O","O","integrated"
"254","circuits","NNS","I-NP","O","O","circuit"
"255","Integrated","NNP","B-NP","O","O","integrated"
"255","circuit","NN","I-NP","O","O","circuit"
"255","interconnections","NNS","I-NP","O","O","interconnection"
"256","Integrated","NNP","B-NP","O","O","integrated"
"256","circuit","NN","I-NP","O","O","circuit"
"256","modeling","NN","I-NP","O","O","modeling"
"257","Integrated","NNP","B-NP","O","O","integrated"
"257","circuit","NN","I-NP","O","O","circuit"
"257","noise","NN","I-NP","O","O","noise"
"258","Integrated","NNP","B-NP","O","O","integrated"
"258","circuit","NN","I-NP","O","O","circuit"
"258","synthesis","NN","I-NP","O","O","synthesis"
"259","Large","JJ","B-NP","O","O","large"
"259","scale","NN","I-NP","O","O","scale"
"259","integration","NN","I-NP","O","O","integration"
"260","MESFET","NNP","B-NP","O","O","mesfet"
"260","integrated","JJ","I-NP","O","O","integrated"
"260","circuits","NNS","I-NP","O","O","circuit"
